T001	bird, snow, landscape, sky					
T002	snow, landscape, grass, sky					
T003	bird, ground, snow, landscape, grass, sky					
T004	bird, ground, snow, landscape, grass, sky					
T005	bird, ground, snow, landscape, grass, sky					
T006	ground, sky, snow, grass, clouds, sunlight, landscape					
T007	ground, sky, snow, grass, clouds, sunlight, landscape					
T008	ground, sky, snow, grass, clouds, sunlight, animal, animals, bird				
T009	ground, sky, snow, grass, clouds, sunlight, animal, bird					
T010	ground, sky, snow, grass, clouds, sunlight					
T011	ground, sky, snow, grass, clouds, sunlight					
T012	ground, sky, snow, grass, clouds, sunlight					
T013	ground, sky, snow, grass, clouds					
T014	ground, sky, snow, grass, sunlight, animal, caribou, deer					
T015	ground, sky, snow, grass, sunlight, animal, caribou, deer					
T016	ground, sky, snow, grass, sunlight, animal, caribou, deer					
T017	ground, sky, snow, grass, sunlight, animal, deer					
T018	ground, sky, snow, grass, sunlight, animal					
T019	ground, sky, snow, grass, sunlight, animal					
T020	ground, sky, snow, grass, sunlight					
T021	ground, sky, snow, grass, sunlight					
T022	ground, sky, snow, grass, sunlight					
T023	ground, sky, snow, grass, sunlight					
T024	ground, sky, snow, grass, sunlight					
T025	ground, sky, snow, grass, sunlight					
T026	ground, sky, snow, grass, sunlight					
T027	ground, sky, snow, grass, sunlight					
T028	ground, sky, snow, grass, sunlight					
T029	ground, sky, snow, grass, sunlight					
T030	ground, sky, snow, grass, sunlight					
T031	animal, bird, ground, sky, snow, grass, sunlight					
T032	ground, sky, snow, grass, sunlight					
T033	ground, sky, snow, grass, sunlight					
T034	ground, sky, snow, grass, sunlight					
T035	animal, bird, ground, sky, snow, grass, sunlight					
T036	clouds, cloudy, gray/blue sky, sunny, grass, field, snow, ice, puddle				
T037	clouds, cloudy, gray/blue sky, sunny, grass, field, snow, ice, puddle				
T038	clouds, cloudy, gray/blue sky, sunny, grass, field, snow, ice, puddle				
T039	clouds, cloudy, gray/blue sky, sunny, grass, field, snow, ice, puddle		
T040	clouds, cloudy, gray/blue sky, sunny, grass, field, snow, ice, puddle				
T041	clouds, cloudy, blue sky, sunny, grass, field, snow, ice, puddle				
T042	clouds, cloudy, blue sky, sunny, grass, field, snow, ice, puddle				
T043	clouds, cloudy, blue sky, sunny, grass, field, snow, ice, puddle				
T044	clouds, cloudy, blue sky, sunny, grass, field, snow, ice, puddle				
T045	clouds, cloudy, blue sky, sunny, grass, field, snow, ice, puddle				
T046	clouds, cloudy, blue sky, sunny, grass, field, snow, ice, puddle				
T047	clouds, cloudy, blue sky, sunny, grass, field, snow, ice, puddle				
